Pathextension,file_name,@image,object,rooms
assets/img/,IMG_5066.jpg,assets/img/IMG_5066.jpg,Door handle,Bathroom
assets/img/,IMG_5067.jpg,assets/img/IMG_5067.jpg,Door knob,Bathroom
assets/img/,IMG_5068.jpg,assets/img/IMG_5068.jpg,Hook ,Bathroom
assets/img/,IMG_5069.jpg,assets/img/IMG_5069.jpg,Radiator,Bathroom
assets/img/,IMG_5071.jpg,assets/img/IMG_5071.jpg,Sink tap,Bathroom
assets/img/,IMG_5072.jpg,assets/img/IMG_5072.jpg,Water valves,Bathroom
assets/img/,IMG_5073.jpg,assets/img/IMG_5073.jpg,Sink drain,Bathroom
assets/img/,IMG_5074.jpg,assets/img/IMG_5074.jpg,Sink plug attachment,Bathroom
assets/img/,IMG_5077.jpg,assets/img/IMG_5077.jpg,Thinking scissors,Bathroom
assets/img/,IMG_5078.jpg,assets/img/IMG_5078.jpg,Key ,Bathroom
assets/img/,IMG_5079.jpg,assets/img/IMG_5079.jpg,Hook ,Bathroom
assets/img/,IMG_5083.jpg,assets/img/IMG_5083.jpg,Bath tap,Bathroom
assets/img/,IMG_5084.jpg,assets/img/IMG_5084.jpg,O-hook,Bathroom
assets/img/,IMG_5085.jpg,assets/img/IMG_5085.jpg,Hinge,Bathroom
assets/img/,IMG_7399 (3).jpg,assets/img/IMG_7399 (3).jpg,Necklace 1,Bedroom
assets/img/,IMG_7405 (2).jpg,assets/img/IMG_7405 (2).jpg,Necklace 2,Bedroom
assets/img/,IMG_7409 (1).jpg,assets/img/IMG_7409 (1).jpg,Necklace 3,Bedroom
assets/img/,IMG_7421 (2).jpg,assets/img/IMG_7421 (2).jpg,Earrings,Bedroom
assets/img/,IMG_7425 (1).jpg,assets/img/IMG_7425 (1).jpg,Earring,Bedroom
assets/img/,IMG_7429 (2).jpg,assets/img/IMG_7429 (2).jpg,Earrings,Bedroom
assets/img/,IMG_7435 (1).jpg,assets/img/IMG_7435 (1).jpg,Belt buckle,Bedroom
assets/img/,IMG_7444 (2).jpg,assets/img/IMG_7444 (2).jpg,Carabiner,Bedroom
assets/img/,IMG_7455 (2).jpg,assets/img/IMG_7455 (2).jpg,Scissors,Bedroom
assets/img/,IMG_7464 (2).jpg,assets/img/IMG_7464 (2).jpg,Enamel pin,Bedroom
assets/img/,IMG_7473 (2).jpg,assets/img/IMG_7473 (2).jpg,Enamel pin,Bedroom
